trecho,ocorrencias
ANILSON,4840
ANILTON,9414
ANILZA,1210
ANISIA,13786
ANISIO,35907
ANITA,58393
ANITO,1100
ANIVALDO,4373
ANIZETE,1252
ANIZIA,10704
ANIZIO,21992
ANJO,5549
ANJOS,513571
ANN,3638
ANNA,227342
ANNE,46034
ANNELISE,1444
ANNES,1274
ANNI,1048
ANNIBAL,2690
ANNIE,2141
ANNITA,5043
ANNUNCIACAO,1372
ANNY,13369
ANOR,1188
ANSCHAU,2740
ANSELMA,2450
ANSELMO,93607
ANTAO,12091
ANTAS,3649
ANTELMO,1048
ANTELO,1428
ANTENOR,51158
ANTERIO,2351
ANTERO,21491
ANTHERO,1811
ANTHONY,15732
ANTIQUEIRA,1594
ANTOINE,3105
ANTON,3310
ANTONELI,1506
ANTONELLA,1084
ANTONELLI,6371
ANTONELLO,2487
ANTONELO,1146
ANTONI,3937
ANTONIA,1047903
ANTONIASSI,3057
ANTONIAZZI,2430
ANTONIEL,9912
ANTONIETA,45289
ANTONIETTA,4731
ANTONIETTI,1252
ANTONILDA,1818
ANTONILDO,1292
ANTONILSON,1123
ANTONINA,10300
ANTONINHA,3744
ANTONINHO,7380
ANTONINI,2774
ANTONINO,11387
ANTONIO,6045416
ANTONIOLI,2368
ANTONIOLLI,2734
ANTONUCCI,1366
ANTONY,8675
ANTUNES,408718
ANTUNEZ,1172
ANULINO,1314
ANUNCIACAO,71523
ANUNCIADA,15643
ANUNCIATA,2037
ANUNCIATO,1686
ANY,4783
ANZOLIN,2095
AOKI,5369
AP,2578
APARECIDA,3920951
APARECIDO,901206
APARICIO,15306
APAZA,3718
APINAGE,1153
APOLIANA,2469
APOLIANO,1653
APOLINARIA,4778
APOLINARIO,67063
APOLO,1908
APOLONIA,7833
APOLONIO,17695
APONTE,1246
APOSTOLO,4249
APPARECIDA,45580
APPARECIDO,6595
APPARICIO,1016
APPEL,2570
APPELT,1798
APPOLINARIO,2070
APRESENTACAO,1479
APRIGIO,23840
APURINA,2618
AQUILA,5233
AQUILES,9893
AQUILINO,5175
AQUINO,276504
ARABELA,1479
ARACELI,3066
ARACELIA,1041
ARACI,20566
ARACY,19262
ARAGAO,121068
ARAGON,2111
ARAI,1781
ARAKAKI,4577
ARAKI,2279
ARALDI,4121
ARAMIS,3493
ARANA,1508
ARANDA,8088
ARANDAS,1062
ARANHA,25609
ARANTE,2087
ARANTES,82889
ARAO,8301
ARARIPE,3881
ARARUNA,2852
ARAUJO,3888767
ARBEX,1138
ARC,24945
ARCANGELA,3298
ARCANGELO,5673
ARCANJA,5877
ARCANJO,66334
ARCARI,1739
ARCARO,1157
ARCAS,1304
ARCE,8080
ARCELINA,3198
ARCELINO,9354
ARCENIO,6905
ARCENO,2832
ARCHANGELO,2116
ARCHANJO,7789
ARCHIMEDES,2345
ARCI,1114
ARCILIO,1948
ARCO,1586
ARCOS,1774
ARCOVERDE,3773
ARCURI,1127
ARDENGHI,1184
ARDUINI,1033
ARDUINO,1642
AREA,2337
AREAL,1506
AREAS,7652
ARECO,2998
AREDA,1416
AREDES,5830
AREIA,1618
AREIAS,4544
ARENA,3390
ARENAS,1773
AREND,3969
ARENHARDT,1119
ARENHART,1463
ARES,2464
ARESTIDES,3431
ARETHA,1353
ARETUSA,1098
ARETUZA,1313
AREVALO,4839
ARGEMIRA,3552
ARGEMIRO,29017
ARGENTA,3172
ARGENTINA,7973
ARGENTINO,5189
ARGENTON,1705
ARGEU,7156
ARGOLLO,1669
ARGOLO,14102
ARGUELHO,4257
ARGUELLO,1612
ARI,56289
ARIADINA,1019
ARIADINE,1162
ARIADNA,3078
ARIADNE,9012
ARIALDO,1200
ARIAN,1071
ARIANA,25677
ARIANE,68559
ARIANI,2284
ARIANNE,2832
ARIANO,1373
ARIANY,3477
ARIAS,9352
ARIEL,30311
ARIELA,2628
ARIELE,7490
ARIELI,2295
ARIELLE,3467
ARIELLY,2982
ARIELSON,2018
ARIELY,2380
ARIENE,2300
ARIETE,1901
ARIFA,1047
ARILDA,2626
ARILDO,12449
ARILENE,1685
ARILMA,1566
ARILSON,9788
ARILTON,3177
ARIMAR,1419
ARIMATEA,6966
ARIMATEIA,17335
ARINA,2011
ARINALDO,3912
ARINDA,1651
ARINETE,1120
ARINO,2990
ARINS,1046
ARIOMAR,1480
ARION,1065
ARIONALDO,1246
ARIOSTO,2175
ARIOSVALDO,7030
ARIOVALDO,14661
ARISMAR,1722
ARISON,1486
ARISSON,1350
ARISTEU,19397
ARISTIDE,1637
ARISTIDES,53666
ARISTON,6694
ARISTOTELES,8218
ARISVALDO,1944
ARITA,1081
ARIVALDO,10807
ARIZA,1607
ARJONA,1356
ARLAN,6405
ARLEI,8048
ARLEIDE,3925
ARLEM,1523
ARLEN,3167
ARLENE,22284
ARLESON,1343
ARLETE,81904
ARLETTE,3539
ARLEY,6028
ARLI,3081
ARLINDA,32655
ARLINDO,142188
ARLISON,1812
ARLISSON,1227
ARLON,1602
ARLY,1805
ARMANDA,2889
ARMANDINA,1034
ARMANDO,119019
ARMANI,2657
ARMAS,1042
ARMELIN,2547
ARMELINDA,4926
ARMELINDO,3343
ARMENIA,1065
ARMENIO,2749
ARMIN,1257
ARMINDA,19861
ARMINDO,21021
ARMINIO,1267
ARMOND,2750
ARMSTRONG,2041
ARNALDO,145261
ARNAUD,5444
ARNAUT,1309
ARNDT,3514
ARNHOLD,2581
ARNILDA,1001
ARNILDO,6440
ARNO,15189
ARNOBIO,5053
ARNOLD,6650
ARNOLDO,11625
ARNON,2649
ARNONI,1339
ARNOR,2956
ARNOUD,1368
ARO,2782
AROALDO,1009
AROEIRA,1192
AROLDO,26451
ARON,3161
AROUCA,4142
AROUCHA,6480
AROUCHE,5681
ARPINI,1606
ARQUIMEDES,5751
ARQUINO,1072
ARRABAL,1386
ARRAES,6600
ARRAIS,15881
ARRIEL,1233
ARROIO,1256
ARROYO,3972
ARRUDA,347115
ARSENIO,5834
ARTEAGA,1539
ARTEIRO,2332
ARTEMIO,5221
ARTEMIZA,1124
ARTHUR,132366
ARTIAGA,1128
ARTIDOR,1268
ARTIGAS,3138
ARTIOLI,1574
ARTMANN,1119
ARTUR,90010
ARTURO,4276
ARTUSO,1093
ARUJO,1258
ARVELINO,2356
ARY,32257
ARYANE,4093
ARYANNE,1399
ARYEL,1104
ASAFE,1141
ASCANIO,1263
ASCARI,2344
ASCENCAO,5222
ASCENCIO,2042
ASCENDINO,3829
ASDRUBAL,1042
ASEVEDO,6561
ASHLEY,1717
ASSAD,6016
ASSAF,1799
ASSEF,1431
ASSENCAO,1468
ASSENCIO,1192
ASSI,2001
ASSIS,809733
ASSIZ,1855
ASSMANN,3456
ASSONI,1533
ASSUMPCAO,34999
ASSUMPTA,2412
ASSUNCAO,210767
ASSUNPCAO,1348
ASSUNTA,5252
ASTA,2090
ASTERIO,2448
ASTOLFI,1713
ASTOLFO,1891
ASTOLPHO,1096
ASTOR,3125
ASTRID,1810
ASTROGILDA,3473
ASTROGILDO,6706
ATAIDE,63645
ATAIDES,15975
ATAIR,2654
ATALIBA,7195
ATALIBIO,1457
ATANAEL,2521
ATANAGILDO,1376
ATANASIO,7354
ATANAZIO,9273
ATAYDE,2994
ATENOR,1129
